Paper_Id,Reference_Summary,Generated_Summary,ROUGE-1,ROUGE-2,ROUGE-L,BLEU
11,"This review article examines the relationship between worry, generalized anxiety disorder (GAD), and cardiovascular function in both disease-free individuals and those with coronary heart disease (CHD). The study draws upon experimental and observational studies and investigates etiological and prognostic factors. The evidence suggests that worry and GAD are associated with diminished heart rate variability (HRV), elevated heart rate, blood pressure, diagnosed hypertension, and medication use. Measures of worry are also linked to fatal and nonfatal CHD. However, the association between worry, GAD, and established CHD is less clear. The research highlights the need for further investigation into the effects of GAD on CHD and cardiovascular risk, particularly as it disproportionately affects females. The study recommends greater attention to GAD research in CHD and its underlying cognitive processes.","aims of this review article are to present psychophysiological and behavioral pathways for the involvement of worry and generalized anxiety disorder (GAD) upon cardiovascular function . Articles (1975–2011) reporting on GAD or worry affecting CHD prognosis or cardiovascular function were found using MEDLINE, EMBASE, SCOPUS and PsychINFO database searches . Results: Available evidence in experimental and observational studies in CHD free samples consistently showed that worry was associated with diminished heart rate variability .",0.44000000000000006,0.18181818181818182,0.24000000000000005,0.0894013234010382
12,"This systematic review discusses the prevalence of oropharyngeal dysphagia in neurological patients and its serious health threats, including aspiration pneumonia. Early identification and accurate diagnosis of this condition are crucial. The review focuses on available bedside screenings for oropharyngeal dysphagia in neurological patients and identifies two relevant screenings with minimum sensitivity and specificity of 70% and 60%, respectively. The review stresses the importance of considering methodological study quality, psychometric screening characteristics, and workplace-related criteria to determine the most suitable screening tool. No single bedside screening can be considered superior without taking all these factors into account.","Bedside Screening to Detect Oropharyngeal Dysphagia in Patients with Neurological Disorders: An Updated Systematic ReviewBedside screening , Videofluoroscopy, Fiberoptic endoscopy , Psychometrics , Deglutition disorders .Oropharyndgeal dysphagya is a highly prevalent comorbidity in neurological patients and presents a serious health threat . An early identification of risk followed by an accurate diagnosis is fundamental .",0.3401360544217687,0.13793103448275862,0.17687074829931973,0.03930660586741136
13,"This study aimed to assess the birth prevalence and spatial distribution of congenital heart disease (CHD) in China using spatial epidemiological methods. The researchers conducted unrestricted searches on seven electronic databases, collected data on the birth prevalence of CHD and its subtypes, and performed subgroup sensitivity analyses. The study found that the total CHD birth prevalence in China had increased continuously over the past 40 years, with significant differences in gender, geographic regions, income levels, and monitoring models. The researchers suggested the need for population-wide prospective birth defect registries covering the entire Chinese population to determine the exact birth prevalence of CHD.","Total CHD birth prevalence increased continuously over time, from 0.201 in 1980–1984 to 4.905 in 2015–2019 . Significant differences in gender, geographical regions, income levels, and monitoring models were found for birth prevalence of CHD . In the future, population wide prospective birth defect registries covering the entire Chinese population need to determine the exact birth prevalence . The solid line is the estimated birth prevalence, and dotted lines represent the 95% confidence intervalRecords identified through database searching .",0.5934065934065935,0.4000000000000001,0.39560439560439553,0.2735290600470334
14,"The prevalence of stroke is higher than that of coronary heart disease (CHD) in Asian countries, possibly due to a higher prevalence of hypertension and lower serum total cholesterol levels. The population-attributable fraction of hypertension for CVD is high in Asian countries, and reduction in salt consumption is important for reducing CVD, especially stroke. Smoking is also a significant risk factor for CVD in most Asian countries, especially for men. Recent westernization in Asian countries has increased fat consumption, which may have caused an increase in CHD. Management of traditional risk factors for CVD, including hypertension, smoking, and obesity, is essential for the prevention of CVD in Asian and Western countries.","Asian countries and regions such as Japan, the Republic of Korea, the People’s Republic of China, Hong Kong, Taiwan, and the Kingdom of Thailand have greater mortality and morbidity from stroke than from coronary heart disease (CHD) Despite this increase, the specific characteristic of lower CHD incidence and mortality for CVD is as high as 60% in Asian countries . In Asian countries, stroke is most likely due to a higher prevalence of hypertension and a lower level of serum total cholesterol .",0.5051546391752576,0.21875,0.25773195876288657,0.1613289179352157
15,"Pre-eclampsia, a common complication of pregnancy, is associated with an increased risk of cardiovascular disease (CVD), cerebrovascular events, and hypertension later in life. This systematic review and meta-analysis analyzed 50 articles to quantify the risks associated with pre-eclampsia. Women with a history of pre-eclampsia or eclampsia were at significantly increased odds of fatal or diagnosed CVD, cerebrovascular disease, and hypertension. Among pre-eclamptic women, pre-term delivery was not associated with an increased risk of future cardiovascular events. The increased risk of CVD may reflect shared common risk factors for both pre-eclampsia and cardiovascular and cerebrovascular disease. Women who experience pre-eclampsia should be aware of their increased risk and may benefit from formal postnatal screening for accepted risk factors for CVD.","Pre-eclampsia is associated with an approximate twofold increase in odds of CVD and cerebrovascular disease, with an estimated doubling of odds compared to unaffected women . This association may reflect shared common risk factors . Women with a history of . pre-employees are at significantly increased risk of future cardiovascular . or hypertension . Medline and Embase were searched with no language restrictions, as were core journals and reference lists .",0.4742268041237113,0.2604166666666667,0.27835051546391754,0.12735544587481976
16,"Childhood interstitial lung disease (chILD) is a rare and complex group of disorders with variable pathology, morbidity, and mortality. There is a lack of consensus on chILD classification, which hinders the consolidation of research evidence. The incidence of chILD is estimated to be 0.13-16.2 cases/100,000 children/year, with a median mortality rate of 13% in developed countries. Corticosteroids and hydroxychloroquine are commonly used treatments. There is a need for active disease surveillance, international patient registries, and randomized controlled intervention trials to advance the understanding and management of chILD. Additionally, studies that go beyond subjective outcomes and describe quality of life, as well as the impacts of chILD on families and health services, are necessary. Determining the burden of chILD on health services requires descriptive statistics beyond simply counting the number of cases.","The incidence of chILD has been estimated at 0.13–16.2 cases/100,000 children/year . One to five new cases presented to individual hospitals each year . In developed countries, the median mortality was 13% (6–19%) . childhood interstitial lung disease is a group of rare chronic and complex disorders of variable pathology . There has been no systematic review of published research .",0.42000000000000004,0.21212121212121213,0.22999999999999998,0.039779587869350895
17,"This study aimed to investigate the neurological manifestations and evidence of neurological involvement in COVID-19 through a systematic review of published articles on the topic. The study found a wide spectrum of neurological symptoms in COVID-19 patients, with fatigue, anorexia, dyspnea/shortness of breath, and malaise being the most common unspecific symptoms. Olfactory and gustatory disorders were also prevalent, particularly in mild cases. The study also found evidence supporting neurologic involvement of COVID-19 through laboratory, electrophysiological, radiological, and pathological evidence. The study concludes that neurological involvement in COVID-19 is an important aspect of the disease that is often underestimated and calls for more clinical and experimental research to explore its underlying mechanisms and role in disease progression.","Clinical manifestations and evidence of neurological involvement in COVID-19 . The meta-analysis for unspecific neurological symptoms revealed that the most common manifestations were fatigue (33.2% [23.1–43.3]), anorexia (30.0% [23.2–36.9]), dyspnea/shortness of breath (26.9% [19.2–34.6]), and malaise (27.7% [13.3–40.1]). Emerging clinical evidence suggests neurological involvement is an important aspect of the",0.4021164021164021,0.2245989304812834,0.30687830687830686,0.12105055852610769
18,"This systematic review of literature explores the potential and challenges of applying Big Data analytics in healthcare. The review considers articles published in English language literature from January 2013 to January 2018 and identifies the sources and applications of Big Data analytics in healthcare, the techniques used, and the challenges to its adoption. The study finds that Big Data analytics has the potential to improve the quality of care, reduce waste and error, and reduce the cost of care. However, researchers lack consensus on the definition of Big Data in healthcare, and there is a paucity of evidence of real-world use. The review concludes that Big Data analytics has emerged as a new frontier for enhancing healthcare delivery, and its application will maximize healthcare value through promoting the extensive usage of insights.","A systematic review of literature aims to determine the scope of Big Data analytics in healthcare including its applications and challenges in its adoption in healthcare . A systematic search of the articles was carried out on five major scientific databases: ScienceDirect, PubMed, Emerald, IEEE Xplore and Taylor & Francis . Big Data Analytics increasingly provides value to healthcare by improving healthcare quality and outcomes and providing cost-effective care . The predictive nature and pattern-recognition aspect of BigData analytics enable the shift from experience-based medicine to evidence-based",0.44545454545454544,0.12844036697247704,0.2909090909090909,0.0797238822082702
19,"This study reviewed 14 research articles published in 2020 that used machine learning algorithms for investigating and dealing with COVID-19. The study found that machine learning has an important role in COVID-19 investigations, prediction, and discrimination, and can be involved in health provider programs and plans. The review showed that supervised learning algorithms, particularly logistic regression, had better results than unsupervised learning algorithms in detecting COVID-19 cases. The study concludes that machine learning applications in medicine showed promising results with high accuracy, sensitivity, and specificity using different models and algorithms.","The purpose of this study is to detect the role of machine-learning applications and algorithms in investigating and various purposes that deals with COVID-19 . The total articles obtained were 16,306 overall but after limitation; only 14 researches of these articles were included in this study . In the future recurrent supervised learning can be used for superior accuracy by having 92.9% testing accuracy . Our findings show that machine learning can produce an important role in COVD-19 investigations, prediction, and discrimination .",0.5084745762711865,0.26285714285714284,0.28248587570621464,0.13789330960596688
20,"This review article provides an overview of diffusion-tensor imaging (DTI) as a noninvasive medical imaging tool used to investigate the structure of white matter. DTI scalars, such as FA, AD, RD, MD, and MO, can be used to evaluate changes in brain tissue caused by various neurological diseases, including amyotrophic lateral sclerosis, multiple sclerosis, Parkinson’s disease, Alzheimer’s dementia, epilepsy, ischemic stroke, traumatic brain injury, spinal cord injury, and depression. The review also highlights the importance of suitable DTI postprocessing tools for clinical research, including advanced robust postprocessing techniques that yield novel anatomical and structural pathway information about the brain. The article concludes that improvements in DTI acquisition techniques and standardization of postprocessing methods will ensure the utilization of DTI in clinical research and even as a diagnostic tool.","Diffusion-tensor imaging (DTI) is a noninvasive medical imaging tool used to investigate the structure of white matter . The signal contrast in DTI is generated by differences in the Brownian motion of the water molecules in brain tissue . Postprocessed DTI scalars can be used to evaluate changes in the brain tissue caused by disease, disease progression, and treatment responses . Advanced robust postprocessing techniques have yield novel anatomical and structural pathway information about the brain .",0.5560975609756097,0.3842364532019705,0.45853658536585357,0.20435550736880573
21,"This study provides a systematic review of published information on the use, effectiveness, and adverse effects of cyclophosphamide (CYC) in the management of idiopathic inflammatory myopathies (IIM) and IIM-related interstitial lung disease (IIM-ILD). The study analyzed 12 non-randomized studies that used intravenous CYC (IVCYC) in 11 of the studies to treat IIM. The analysis showed that IVCYC treatment improved muscle strength and function, CK levels, pulmonary function, and HRCT lung images in refractory IIM and IIM-ILD patients. It also improved survival rates among patients with acute or subacute ILD. However, there were adverse effects, including 18 deaths due to diffuse alveolar damage (DAD), with a ground glass (GrG) pattern found in 66.7% of the deaths. The conclusion suggests that CYC may be an effective immunomodulatory agent in managing IIM and IIM-related ILD, but large-sample, double-blind, placebo-controlled studies are needed to confirm this conclusion.","The purpose of this study is to review and summarize published information on the use, effectiveness, and adverse effects of cyclophosphamide (CYC) in the management of idiopathic inflammatory myopathies (IIM) and IIM-related interstitial lung disease . The initial search involved 310 articles, and the 12 articles that met the study criteria were analyzed in detail . All studies were non-randomized .",0.43396226415094336,0.26666666666666666,0.3490566037735849,0.11220059270344687
22,"The paper reviews recent developments in wearable sensors for health monitoring and provides an overview of the latest data mining techniques used to analyze data from such sensors for physiological monitoring. The paper outlines common data mining tasks such as anomaly detection, prediction, and decision making in continuous time series measurements, and describes the suitability of particular data mining and machine learning methods used to process physiological data. The review also highlights key challenges for data mining methods in health monitoring systems, and discusses data sets and their properties, including time horizon, scale, and labeling. The study concludes by addressing future challenges in data mining for wearable sensors in healthcare.",Data Mining for Wearable Sensors in Health Monitoring Systems: A Review of Recent Trends and Challengesdata mining; wearable sensors; healthcare; physiological sensors; health monitoring system; machine learning technique; vital signs; medical informatics . This increase has been due to several factors such as development in sensor technology as well as directed efforts on political and stakeholder levels to promote projects which address the need for providing new methods for care given increasing challenges with an aging population . An important aspect of study in such system is how the data is treated and,0.4577114427860696,0.13065326633165827,0.20895522388059704,0.08748160105596596
23,"This article discusses the use of machine learning techniques to forecast repeat visits to emergency departments (EDs) by utilizing patient data from electronic health records and health information exchange. The study suggests that utilizing patients' longitudinal data and integrating information from distributed sources can enhance risk prediction at the point of care. The study utilizes hidden Markov models (HMMs) to capture the relationships between observed and hidden progressions over time through a series of hidden states, and applies pre-analysis of patient data using latent class models to improve the performance of the prediction models. The article suggests that leveraging patients' longitudinal data is a prospective approach to advanced risk prediction and provides a methodological and practical contribution to the field. Future research should explore the application of these techniques to other points of care besides the ED and test additional latent class models to generalize the findings.","Data mining techniques utilizing latent class models to evaluate emergency department revisitsHidden Markov Models , Emergency department revisit , Electronic health records , Predictive analytics . The use of machine learning techniques is especially pertinent to the composite and challenging conditions of emergency departments (EDs) Repeat ED visits (i.e. revisits) are an example of potentially inappropriate utilization of resources that can be forecasted by these techniques . We carried out forecasting of future ED revisits with various data mining models .",0.375,0.13513513513513514,0.19642857142857142,0.07745911260948712
24,"The article discusses how deep learning can revolutionize modern medicine by analyzing the massive volume of electronic data compiled by hospital systems. The clinical neurosciences are particularly well positioned to benefit from deep learning algorithms due to the subtle presentation of symptoms typical of neurologic disease. The article reviews the various domains in which deep learning algorithms have already provided impetus for change, including medical image analysis, connectome mapping, and mining of microscopic EEG signals and granular genetic signatures. However, important challenges remain a barrier to integration of deep learning tools in the clinical setting, such as data privacy, accessibility, ownership, and data quality. The article concludes that interdisciplinary teams of physicians, computer scientists, engineers, legal experts, and ethicists working in concert can overcome these hurdles to truly realize the potential of deep learning in medicine to augment the capability of physicians and enhance patient care delivery.","Deep learning is uniquely suited to address these challenges, and recent advances in techniques and hardware have poised the field of medical machine learning for transformational growth . The clinical neurosciences are particularly well positioned to benefit from these advances given the subtle presentation of symptoms typical of neurologic disease . Here we review the various domains in which deep learning algorithms have already provided impetus for change . We also note important challenges in the integration of deep learning tools in the clinical setting and discuss the barriers to tackling the challenges that currently exist .",0.5416666666666666,0.3529411764705882,0.44166666666666665,0.22556241380097686
25,"This review discusses the application of machine learning algorithms, particularly convolutional neural networks, in medical image analysis. It highlights the advantage of machine learning in discovering hierarchal relationships within medical big data without laborious hand-crafting of features. The review covers various research areas and applications of medical image classification, localization, detection, segmentation, and registration. However, the lack of publicly available and high-quality labeled data is a major challenge in medical image analysis. Despite this, satisfactory performance is reported in various tasks with small training datasets. The review concludes by discussing research obstacles, emerging trends, and possible future directions, including new areas of research such as prognostication, content-based image retrieval, and manipulation of physical objects with LSTMs and reinforcement learning. An interesting application involves the use of GANs to generate CT brain images from MRI images, potentially avoiding ionizing radiation from a CT scanner altogether and improving patient safety.","The tremendous success of machine learning algorithms at image recognition tasks in recent years intersects with a time of dramatically increased use of electronic medical records and diagnostic imaging . We cover key research areas and applications of medical image classification, localization, detection, segmentation, and registration .We conclude by discussing research obstacles, emerging trends, and possible future directions . In general computer vision tasks, attempts have been made to circumvent limited data by using smaller filters on deeper layers .",0.3947368421052631,0.2300884955752213,0.2982456140350877,0.14499823344087207
26,"The paper discusses the limited applications of deep learning models in clinical decision-support systems despite recent developments in the field. It highlights the growing use of electronic health records (EHR) for personalised prediction of risks and health trajectories and provides a comparative review of key deep learning architectures that have been applied to EHR data. The paper introduces the Clinical Practice Research Datalink (CPRD) as a new asset for training data-hungry models, provides a guideline for working with EHR data for deep learning, and shares best practices for assessing the goodness of deep-learning models in clinical risk prediction. The paper concludes that recurrent neural networks are better suited to deal with the temporal nature of EHR data and proposes future research ideas for making deep learning models more suitable for EHR data from different healthcare systems.","Recent digitalisation of health records has provided a great platform for the assessment of the usability of such techniques in healthcare . As a result, the field is starting to see a growing number of research papers that employ deep learning on electronic health records (EHR) for personalised prediction of risks and health trajectories . This can be a promising trend, but vast paper-to-paper variability (from data sources and models they use to the clinical questions they attempt to answer) have hampered the field’s ability",0.43555555555555553,0.14349775784753363,0.25777777777777783,0.11425276609832681
27,"This study analyzes the research growth and current understandings of depression among HIV-infected individuals, which has become an urgent issue. The study shows that depression is common among HIV patients, and it is associated with poor health outcomes. The research landscape in this field includes risk behaviors, causes of depression, effects of depression on health outcomes, and interventions for PLWH. The study also identifies a lack of empirical studies in countries where PLWH face a high risk of depression and a modest level of interest in biomedical research. The study suggests that more efforts should be made to fulfill the research gaps, especially in developing countries and biomedical investigation on the correlation between HIV and depression.","In this study, we analyzed research growth and current understandings of depression among HIV-infected individuals . The number of papers and their impacts have been considerably grown in recent years, and a total of 4872 publications published from 1990–2017 were retrieved from the Web of Science database . We identified a lack of empirical studies in countries where PLWH face a high risk of depression . This study provides a basis for future studies and interventions in addressing the critical issue of HIV epidemics .",0.5,0.29292929292929293,0.4,0.20745302443220728
28,"This paper discusses the use of machine learning techniques, specifically the Heterogeneous Modified Artificial Neural Network (HMANN), for the early detection and diagnosis of chronic kidney disease (CKD) using ultrasound images on the Internet of Medical Things (IoMT) platform. The proposed algorithm achieves high accuracy in kidney segmentation and significantly reduces the time for delineating the contour. The paper also includes a discussion of the importance of feature selection in classification algorithms and the use of support vector machine, artificial neural networks, and multilayer perceptron classifiers. The paper concludes that the proposed HMANN method helps to reduce noise and segment kidney images for clear identification of kidney stone location and improves the accuracy of CKD detection.","HMANN is classified as a Support Vector Machine and Multilayer Perceptron (MLP) with a Backpropagation algorithm . In kidney segmentation, the proposed method achieves high accuracy and significantly reducing the time to delineate the contour . This paper presents a deep learning-based Heterogeneous Modified Artifical Neural Network (HMANN) method for the detection of chronic kidney disease . There are some noisy and complexity during image segmentation .",0.5111111111111112,0.2696629213483146,0.28888888888888886,0.08595644905730046
29,"This paper analyzes the economic impact associated with HIV/AIDS in a European context by conducting a systematic literature review for five different countries. The study includes 26 papers containing 76 cost estimates, most of which analyze the health care costs of treating HIV/AIDS. The study finds a high degree of variability in estimated annual costs per patient across countries, and a great disparity in total health care costs for patients with different disease stages. Few studies have estimated the non-medical costs of HIV/AIDS, despite its potential impact on productivity losses and cost of care. The study concludes that there is a need for improvement in the methodology used in many of the studies carried out and for these studies to reflect the economic impact of HIV/AIDS beyond health care. Lastly, the paper emphasizes the importance of reflecting the social burden of the disease beyond the healthcare realm.","The HIV/AIDS disease represent a priority for all health authorities in all countries and it represents serious added socioeconomic problems for societies over the world . We conducted a systematic literature review for five different countries (France, Germany, Italy, Spain and United Kingdom) and searched five databases. Three types of analyses were undertaken: descriptive statistics; quantitative analysis to calculate mean costs; and comparison across countries . Most of the studies analyzed the health care cost of treatment . Only 50% of the cost estimates provided mean lymphocyte count describing the patient’",0.35684647302904565,0.17573221757322174,0.22406639004149378,0.07759506665351588
30,"This article provides a comprehensive review of the latest deep learning practices in the detection and diagnosis of colon cancer. It starts with an overview of popular deep learning architectures used in colon cancer analysis, followed by a collection of all studies related to colon cancer analysis and their division into five categories: detection, classification, segmentation, survival prediction, and inflammatory bowel diseases. The article provides detailed summaries of the studies in each category and lists them in tables for a more detailed comparison, including datasets, imaging techniques, and results. The article concludes by discussing the successes and challenges of deep learning in colon cancer analysis and providing suggestions for future research, such as increasing the number of public datasets and establishing common experimental setups and evaluation criteria. Overall, this article is a useful resource for researchers interested in using deep learning techniques for the diagnosis of colon cancer.","In this article, we hope to bring a perspective to progress in this area by reviewing deep learning practices for colon cancer analysis . We gathered all the works together and organized them into five main categories . These categories are listed as follows according to the number of studies conducted: detection, classification, segmentation, survival prediction, and inflammatory bowel diseases . This study differs from other studies by including 135 recent academic papers, separating colon cancer into five different classes .",0.4,0.15246636771300448,0.2488888888888889,0.10671015962576617
31,"This paper reviews current methods for building cancer risk models using structured clinical patient data, exploring trends in statistical and machine learning techniques. The importance of cancer risk prediction models is highlighted, as they can inform patient screening and treatment patterns, potentially improving patient outcomes and reducing healthcare costs. The paper identifies gaps in the transfer of point-of-care data and suggests that advanced modeling methods using state-of-the-art machine learning techniques must be employed for future research. The paper concludes that research must continue in this area for these models to be embraced for clinical decision support of both practitioners and patients.","A review of statistical and machine learning methods for modeling cancer risk using structured clinical dataCancer prediction , Cancer recurrence , Data mining , Electronic health records . To help reduce the impact and deadlines of cancers, they must be detected early . Additionally, there is a risk of cancer recurring after potentially curative treatments are performed . For large-scale predictive models to be built, structured data must be captured for a wide range of diverse patients . The key impact of these models is reducing costs ",0.45989304812834225,0.15135135135135133,0.23529411764705882,0.0670594155292511
32,"This paper explores the use of deep learning techniques in healthcare systems to analyze and uncover meaningful information from large amounts of data. The focus is on disease detection in preprocessing, feature extraction, feature selection, classification, and clustering steps. The paper evaluates the technical aspects of machine learning and deep learning architectures, including the accuracy of disease detection and algorithm parameters. The top architectures of deep learning methods applied to healthcare are also analyzed and discussed. The potential of hybrid and ensemble methods is highlighted, but the challenges of memory and time consumption are noted. Future research efforts should focus on developing efficient technologies and improving neural network models, as well as implementing explainable artificial intelligence in distributed systems. Overall, the paper concludes that deep learning models have tremendous potential in medicine and healthcare systems, given the complexity of health data.","In the last few years, the application of Deep Neural Network (DNN) models have become more attractive in the healthcare system given the rising complexity of the healthcare data . Machine Learning algorithms provide efficient and effective data analysis models to uncover hidden patterns and other meaningful information from the considerable amount of health data that conventional analytics are not able to discover in a reasonable time . In this paper, we focused on those problems in healthcare that have been addressed using deep learning with promising results .",0.4405286343612335,0.14222222222222222,0.18502202643171803,0.019315896399797368
